minHBint8,minHBint4,minHBint7,nAtomLAC,nN,ETA_dBeta,SsssCH,SaaNH,minHBint6,C3SP2,nBondsD2,MDEC-22,ALogP,BCUTp-1l,minHBa,maxHBa,SdssC,minHBint5,nHsOH,AMR,Caco-2
0,-0.624548328,0,2,1,-6.5,1.630208776,0,0,1,0,26.17203875,-0.286,5.245434818,-1.331303101,9.968948075,0,3.092949329,1,126.1188,0
0,-0.61917718,0,2,1,-7.5,1.58678285,0,0,1,0,31.35982761,-0.862,5.256770245,-1.378628204,10.05894808,0,2.997752452,1,131.942,0
0,-0.773156496,3.358890641,2,1,-1.25,0.196275696,0,-0.830769106,2,0,25.91601316,0.7296,4.91013974,-1.608353786,9.977508008,0,3.125956538,2,139.9304,0
0,-0.616655237,0,2,1,-7.5,1.657837453,0,0,1,0,30.7764549,-0.3184,5.239955516,-1.350874047,10.02502846,0,3.022915883,1,133.4822,0
0,-0.68661822,0,2,1,-1.5,0.555037979,0,0,2,0,30.7764549,1.3551,5.238827253,-1.44968924,9.99334222,0,3.103616169,1,143.1903,0
0,-0.746137353,0,2,2,-1.5,0.330773051,0,0,2,0,25.91601316,-0.3921,5.247543154,-1.536169356,9.964174675,0,3.164226775,1,134.7554,0
0,0,0,2,1,-0.25,0,0,0,6,1,33.41973388,1.5155,4.894189661,2.505419088,10.12510047,1.247098939,0,2,142.3273,0
0,-0.782188211,2.892525451,2,1,-2,0.183319347,0,0,1,0,23.39383364,-0.1014,5.231418318,-1.564590138,9.910737175,0,3.221759032,1,129.4149,0
0,0,0,0,0,5.5,0,0,0,6,1,22.3260052,2.9208,4.892438441,9.655749374,9.932093411,1.26787037,0,2,110.8989,0
7.39343369,0,6.763818966,0,0,7,0,0,0,6,3,15.24982245,1.4808,4.89746853,9.625849682,13.55598844,0.049101474,0,2,112.3889,0
7.221504276,0,6.506022154,2,1,1.25,0,0,0,6,3,25.83871297,0.0755,4.899219808,2.389028913,14.16555833,-0.04097806,0,2,143.8173,0
0,0,0,0,0,5.5,0,0,0,6,1,22.05126388,2.9208,5.144960321,9.932875304,9.972051419,1.222407407,0,2,110.8989,1
0,-0.669892587,0,2,1,-5.5,0.615124903,0,0,1,0,18.07508234,1.6411,5.248458494,-1.400886435,9.906412644,0,3.111645899,1,127.716,1
0,-0.62209938,0,2,1,-7,1.608495813,0,0,1,0,28.61998982,-0.574,5.251102472,-1.354965653,10.01394808,0,3.045759054,1,129.0304,0
